name_with_owner,created_at,updated_at,is_archived,stargazers,primary_language,releases_count,prs_merged,issues_open,issues_closed,issues_closed_pct,top_languages
spring-projects/react,2009-11-11,2018-04-26,False,179003,C++,76,39489,4889,15928,76.5,JavaScript:4358934|Go:496477|C:2807784
freeCodeCamp/swift,2016-12-25,2020-04-03,False,191819,JavaScript,56,8605,4233,7009,62.3,Python:2976122|C:2270265|Rust:818494
denoland/freeCodeCamp,2013-12-28,2021-08-11,False,101469,TypeScript,11,1376,4410,5143,53.8,TypeScript:1003840|Go:1706375|C++:2531178
electron/swift,2020-04-05,2022-03-17,False,98993,PHP,43,10097,51,992,95.1,C++:3571924|Java:1674918|JavaScript:1779020
python/vscode,2023-05-08,2025-06-20,False,189816,Python,162,32639,3276,3292,50.1,PHP:3755224|Go:1848271|Python:2838174
microsoft/freeCodeCamp,2023-02-07,2025-02-01,False,235875,Ruby,144,10841,2432,12632,83.9,C:314454|Rust:522064|Go:3825557
vercel/django,2020-12-11,2023-04-06,False,98886,TypeScript,61,18474,1706,5332,75.8,Go:3154190|Python:67250|C++:4022981
torvalds/tensorflow,2022-12-06,2023-01-15,False,284816,Python,66,4392,541,3646,87.1,Go:4668638|C++:3277886|C:3175806
apple/go,2011-02-04,2025-04-19,False,215198,Java,61,41656,4326,7537,63.5,JavaScript:731438|Go:1014758|Rust:4862601
facebook/vscode,2015-05-02,2018-06-18,False,327684,C++,131,6807,3541,3967,52.8,C:948183|PHP:3164136|Rust:3706270
apple/next.js,2014-01-26,2024-02-27,False,369679,Go,166,9445,1344,5823,81.2,PHP:4302869|Ruby:4626576|TypeScript:4871134
python/swift,2010-03-05,2010-06-30,False,311178,Rust,98,8700,1807,2476,57.8,Rust:189015|Ruby:936572|PHP:4463550
python/rust,2012-12-18,2018-12-11,False,359908,Go,115,20295,3553,5443,60.5,Rust:1309363|JavaScript:3813650|Ruby:3399686
laravel/spring-boot,2012-08-14,2020-09-01,False,184636,PHP,27,44118,1538,8763,85.1,Python:2859540|Java:615373|Go:3914092
laravel/electron,2024-11-11,2025-08-07,False,355118,Python,108,4396,4308,6816,61.3,Java:2840828|TypeScript:2671183|C:838598
django/swift,2017-08-20,2017-09-25,False,260254,Java,181,3215,733,1218,62.4,C:4047263|C++:2927364|Ruby:4256068
vuejs/electron,2010-04-07,2015-01-28,False,290130,Go,89,3199,3661,11676,76.1,PHP:4647544|TypeScript:4032586|Go:3938252
tensorflow/rust,2010-05-14,2024-06-24,False,175795,Ruby,116,40064,4502,6526,59.2,Rust:4299331|JavaScript:3429392|Python:1076380
laravel/deno,2014-09-19,2019-12-25,False,329912,JavaScript,74,40333,2648,2863,52.0,C++:2026822|Python:4814062|JavaScript:2806683
vercel/spring-boot,2011-08-15,2014-08-16,False,125954,Java,121,47281,3021,8313,73.3,Rust:3482862|TypeScript:2104008|JavaScript:4210152
django/vscode,2021-03-06,2021-06-17,False,342705,Ruby,131,4701,4582,4803,51.2,C++:4757343|JavaScript:4415087|Ruby:3835762
golang/cpython,2019-04-14,2019-12-01,False,330734,Python,140,42219,4529,5924,56.7,C++:3183326|C:4670943|TypeScript:1656984
denoland/cpython,2016-05-30,2025-01-20,False,328403,PHP,135,17240,2247,11703,83.9,C++:2290199|Rust:1386354|TypeScript:1707516
apple/swift,2014-02-12,2022-12-25,False,359356,Go,87,27894,2725,2775,50.5,Java:3444015|C:4511749|Go:3126228
denoland/django,2014-12-29,2023-08-01,False,206036,PHP,68,31574,990,2230,69.3,Rust:1024905|Go:4827455|Java:3787225
apple/spring-boot,2010-08-04,2024-11-27,False,142798,Go,187,20937,2604,3482,57.2,Python:1772300|Ruby:4331618|Java:4124599
freeCodeCamp/django,2011-10-28,2012-03-26,False,173927,C,109,35827,2798,3708,57.0,C++:499627|Python:261012|Go:4996811
laravel/next.js,2009-02-02,2019-04-18,False,80943,Ruby,39,24026,107,9912,98.9,C++:3253120|JavaScript:3770533|TypeScript:4047610
freeCodeCamp/freeCodeCamp,2008-05-06,2023-05-22,False,336657,JavaScript,154,9451,2330,4049,63.5,Ruby:4620719|Go:3455858|C++:4791034
electron/tensorflow,2012-12-08,2023-10-31,False,397168,Go,51,25127,1800,3196,64.0,TypeScript:3916923|C:2311600|Rust:465385
spring-projects/vue,2008-07-16,2021-03-26,False,222324,Java,178,31900,2387,3623,60.3,TypeScript:3306422|Java:588050|C++:4377723
spring-projects/cpython,2025-04-01,2025-07-04,False,151308,Python,142,11964,4226,6014,58.7,C:3293962|Ruby:1834798|JavaScript:1787971
spring-projects/spring-boot,2011-08-05,2018-03-22,False,107279,PHP,111,25173,3883,3942,50.4,Ruby:4751624|Java:3397934|JavaScript:3764957
vercel/linux,2014-06-24,2022-05-03,False,77198,C,12,7077,1954,4928,71.6,Ruby:3894351|Python:978664|Java:1871762
laravel/rust,2019-09-08,2023-11-08,False,325223,TypeScript,161,29827,739,9849,93.0,TypeScript:4370020|PHP:179952|Ruby:4903112
torvalds/next.js,2012-10-28,2024-08-23,False,255652,Ruby,125,22851,4303,6700,60.9,JavaScript:717338|PHP:2590296|Python:3344524
facebook/next.js,2015-08-09,2020-03-10,False,152314,C++,184,31678,4562,5090,52.7,C:239513|TypeScript:975387|Java:3305242
vercel/tensorflow,2010-06-28,2013-02-12,False,269156,Rust,38,21874,2959,6571,69.0,C:3340126|Java:61817|Rust:4608319
rust-lang/freeCodeCamp,2021-12-24,2024-06-20,False,179085,TypeScript,29,8711,1228,3145,71.9,Java:4723451|Go:391908|PHP:525312
rust-lang/vscode,2021-12-31,2022-07-05,False,249350,Python,181,14588,380,2438,86.5,JavaScript:73047|TypeScript:4733654|Go:3264570
vercel/vue,2021-11-02,2022-05-20,False,314100,JavaScript,114,38836,4723,15893,77.1,Go:1199213|C:2089431|Ruby:4142214
torvalds/linux,2024-06-07,2024-07-07,False,66250,Python,27,48669,1953,2091,51.7,C++:4301936|TypeScript:104638|Rust:2648050
freeCodeCamp/angular,2024-07-13,2025-02-19,False,345374,TypeScript,146,29054,1359,2125,61.0,C++:1347566|C:1585959|Rust:3853082
spring-projects/react,2024-10-20,2025-04-07,False,350664,TypeScript,109,41778,1332,1895,58.7,Rust:3300058|TypeScript:1238127|C++:2753863
django/swift,2009-01-22,2016-07-07,False,134946,Ruby,85,15049,2628,4799,64.6,Go:3007397|Rust:263657|Ruby:1110665
freeCodeCamp/django,2019-09-11,2023-03-13,False,78068,C,132,33577,1525,2120,58.2,C:4160982|C++:3138222|Rust:1248861
freeCodeCamp/swift,2025-03-14,2025-03-31,False,349352,Python,9,26822,4466,18277,80.4,C:1655112|Go:2150109|TypeScript:1395524
freeCodeCamp/tensorflow,2020-11-30,2023-01-18,False,127490,PHP,170,10892,4875,7557,60.8,PHP:3716429|Python:3286431|Go:2011640
freeCodeCamp/laravel,2013-07-26,2015-09-30,False,150610,C++,30,31393,39,620,94.1,Ruby:2847125|C++:270591|Go:3407319
golang/react,2023-01-28,2023-03-22,False,51238,TypeScript,187,17088,2874,4192,59.3,Ruby:1648326|C:965805|Python:4259832
spring-projects/spring-boot,2011-06-10,2018-01-29,False,367561,Go,120,7572,1655,5211,75.9,Ruby:4184451|C++:2169894|PHP:4702549
spring-projects/angular,2012-11-14,2016-11-02,False,197921,PHP,105,29025,3077,4980,61.8,Python:2149963|Go:1702217|C++:4730074
denoland/freeCodeCamp,2018-03-19,2024-02-22,False,351897,C++,56,1181,874,2691,75.5,C:3895330|TypeScript:2715950|Go:1445174
vercel/rust,2022-10-24,2024-09-26,False,233817,Rust,148,3714,2010,4085,67.0,JavaScript:1399481|C++:4300177|Ruby:807275
electron/electron,2013-08-24,2017-01-12,False,187124,C,36,29758,3470,4836,58.2,Python:4137529|Ruby:3761270|Go:1160590
tensorflow/rust,2012-12-18,2021-03-04,False,393033,Ruby,114,48955,1184,3220,73.1,C:2113994|TypeScript:2196532|Rust:3529369
vercel/swift,2011-05-15,2020-08-03,False,176229,C++,138,27413,4671,4680,50.0,Ruby:2170131|Go:2284004|C++:174683
facebook/django,2017-08-01,2018-07-08,False,288326,Ruby,11,2873,3411,10590,75.6,JavaScript:3559020|Ruby:4358108|Go:929392
spring-projects/next.js,2016-09-16,2021-11-14,False,185876,C,125,1191,3178,9926,75.7,C++:4694321|PHP:1915989|Python:3212931
laravel/vue,2022-08-24,2022-12-14,False,214838,Java,184,33620,4528,9418,67.5,C++:112728|Rust:2412751|Go:4878389
golang/next.js,2009-11-22,2017-08-17,False,223703,JavaScript,79,29635,1335,1513,53.1,JavaScript:3696364|C:1062573|PHP:3232338
rust-lang/cpython,2010-08-21,2022-02-02,False,177387,PHP,76,26619,1522,10292,87.1,Python:3477699|PHP:1187578|JavaScript:2116928
vuejs/linux,2016-07-01,2023-07-30,False,281315,Go,59,8643,4423,5825,56.8,TypeScript:961598|Java:1979283|Rust:1946751
electron/deno,2021-03-25,2021-09-19,False,57167,Python,159,1843,4539,8695,65.7,C:3692939|Ruby:2746498|TypeScript:324414
